  0000100131                                                abap                                                                                                                                
TR0007300097FBL1N                                           供应商行项目                                                                                                                              
TR0007300096FB70                                            输入支出发票                                                                                                                              
TR0007300095FB60                                            输入收入发票                                                                                                                              
TR0007300094FBL1N                                           供应商行项目                                                                                                                              
TR0007300093F-53                                            过账付款                                                                                                                                
TR0007300092F-48                                            供应商预付订金记帐                                                                                                                           
TR0007300091F-47                                            预付定金请求                                                                                                                              
TR0007300090FB60                                            输入收入发票                                                                                                                              
TR0007300089F-43                                            输入供应商发票                                                                                                                             
TR0007300088F-65                                            初始过帐                                                                                                                                
TR0007300087FAGLB03                                         显示余额                                                                                                                                
TR0007300086FB03                                            显示凭证                                                                                                                                
TR0007300085F-02                                            输入总帐科目记帐                                                                                                                            
TR0007300084FB50                                            总帐科目过帐: 单一屏幕业务                                                                                                                      
TR0007300083OB08                                            C 财务 维护表 TCURR                                                                                                                      
TR0007300082SE16N                                           常规表显示                                                                                                                               
TR0007300081FI01                                            创建银行                                                                                                                                
TR0007300080BP                                              处理业务合作伙伴                                                                                                                            
TR0007300079FB03                                            显示凭证                                                                                                                                
TR0007300078FS16                                            复制总分类帐更改：收到                                                                                                                         
TR0007300077FS15                                            复制总分类帐更改：发送                                                                                                                         
TR0007300076FS00                                            总帐科目主记录维护                                                                                                                           
TR0007300075FSS0                                            公司代码中总帐科目主记录                                                                                                                        
TR0007300074FSP0                                            科目表中总帐科目主记录                                                                                                                         
TR0013100132SMOD                                            SAP 增强管理                                                                                                                            
TR0013100133SE78                                            表格图形管理                                                                                                                              
TR0013100134ST05                                            性能跟踪                                                                                                                                
TR0013100135SPAD                                            假脱机管理                                                                                                                               
TR0013100136SNRO                                            编号范围对象                                                                                                                              
TR0013100137BAPI                                            BAPI 浏览器                                                                                                                            
TR0013100138SWO3                                            业务对象制作程序                                                                                                                            
TR0013100139SWO1                                            业务对象制作程序                                                                                                                            
TR0013100140SHDB                                            批输入事务记录器                                                                                                                            
TR0013100141SE73                                            SAPscript 字体维护                                                                                                                      
TR0013100142SMARTFORMS                                      SAP 智能表格                                                                                                                            
TR0013100143SU21                                            维护权限对象                                                                                                                              
TR0013100144SU20                                            维护权限字段                                                                                                                              
TR0013100145SM30                                            调用视图维护                                                                                                                              
TR0013100146SE30                                            ABAP 对象运行时间分析                                                                                                                       
TR0013100147SE11                                            ABAP 字典维护                                                                                                                           
TR0013100148ME23N                                           显示采购订单                                                                                                                              
TR0013100149SE16N                                           常规表显示                                                                                                                               
TR0013100150SM04                                            登录到 AS 实例                                                                                                                           
TR0013100151SE80                                            对象导航器                                                                                                                               
TR0013100152SE38                                            ABAP 编辑器                                                                                                                            
TR0013100153ZABAPGIT                                        事务 ZABAPGIT                                                                                                                         
